,,,Gifts/donations reported by taxpayers - Year ended 30 June,,Method of Travel to Work - Employed Persons - Census,,,,,,,,,,,,,,,,,,,,Households by Type - Census,,,,,Families by Type - Census,,,,,,,,Social Marital Status & Registered Marital Status - Persons aged 15 years and over - Census,,,,,,,,Access to Internet at Home - Occupied Private Dwellings - Census,,,Rent and Mortgage Payments - Census,,Unpaid Child Care - Proportion of persons aged 15 years and over - Census,,,,,Unpaid Work - Persons aged 15 years and over - Census,,Count of All Children in Family - Census,Housing Suitability - Occupied private dwellings - Census,,,Dwelling Structure - Private dwellings - Census,,,,,,Tenure Type - Occupied private dwellings - Census,,,,,Household Stress - Census,,,,Socio-Economic Indexes for Areas (SEIFA) - Australia Deciles - Census,,,,Socio-Economic Indexes for Areas (SEIFA) - State Deciles - Census,,,,Homelessness - Census,Commuting to Work - Census,,,
34860,Maranoa (R),2017,"1,464",109,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
34880,Mareeba (S),2011,-,-,4,-,108,3,"4,758",549,20,175,45,66,86,457,"6,263",72,124,"5,375",844,809,174,"8,171","1,849",222,"5,060","7,127",3,"1,680",317,"2,265",615,262,81,"5,206",2.9,"6,471","1,686","5,416",47.1,34.5,5.4,9.7,3.3,-,-,-,756,"1,650",61.0,18.1,7.2,1.1,12.8,10.9,20.2,1.9,-,-,-,"6,406",177,294,234,7,"7,118",39.1,28.3,28.4,0.9,3.3,91.9,8.1,91.8,8.2,-,-,-,-,-,-,-,-,86.5,-,-,-,-
34880,Mareeba (S),2013,"2,766",75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
34880,Mareeba (S),2014,"2,672",80,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
34880,Mareeba (S),2015,"2,830",80,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
34880,Mareeba (S),2016,"2,835",85,-,-,129,5,"5,048",508,12,121,55,52,129,450,"6,513",70,153,"5,622",800,762,138,"8,284","1,989",259,"5,158","7,408",3,"1,597",398,"2,340",580,312,92,"5,306",2.9,"6,375","1,953","5,867",44.6,35.9,5.5,10.2,3.7,72.8,23.6,3.5,953,"1,661",59.1,15.8,6.4,1.1,17.6,10.8,20.1,1.9,336,"5,070","1,498","6,748",113,253,242,58,"7,414",39.3,28.2,28.0,0.8,3.8,93.8,6.2,90.6,9.4,3,3,4,3,5,5,6,5,83.1,18.8,7.4,20.1,6.4
34880,Mareeba (S),2017,"2,865",85,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
35010,Moreton Bay (R),2011,-,-,"6,883",20,"1,919",19,"109,843","9,769",222,"2,772","1,663",866,931,"3,085","137,987","8,318","16,049","126,325","7,203","18,593","2,394","174,488","26,513","3,865","102,229","132,606",3,"39,006","8,120","39,189","12,355","5,013","1,268","104,964",3.0,"139,644","28,684","102,244",51.1,31.0,5.0,9.3,3.6,-,-,-,"1,276","1,979",61.2,22.7,7.9,1.3,6.9,11.1,17.3,1.9,-,-,-,"113,853","9,820","7,585","1,290",67,"132,615",27.9,39.8,29.3,1.0,2.0,88.9,11.1,88.5,11.5,-,-,-,-,-,-,-,-,19.8,-,-,-,-
35010,Moreton Bay (R),2013,"76,412",70,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
35010,Moreton Bay (R),2014,"76,265",76,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
35010,Moreton Bay (R),2015,"76,964",82,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
35010,Moreton Bay (R),2016,"75,803",85,"6,383",17,"1,925",20,"124,445","9,717",188,"2,295","2,033",794,"1,134","2,856","151,797","7,708","14,829","140,460","8,741","19,703","1,535","189,495","30,495","4,548","112,615","147,666",3,"41,860","9,322","43,252","13,809","6,286","1,471","115,996",3.0,"148,612","35,541","119,234",49.2,32.2,4.9,9.7,4.0,85.8,12.1,2.2,"1,441","1,875",61.1,22.2,8.0,1.1,7.5,11.8,17.4,1.9,"3,296","116,953","19,444","122,497","16,181","7,412","1,216",362,"147,668",27.4,37.7,31.6,1.0,2.2,93.2,6.8,87.2,12.8,7,7,6,8,9,9,8,9,27.8,19.8,16.3,14.9,9.2
35010,Moreton Bay (R),2017,"78,543",85,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
35250,Mornington (S),2011,-,-,-,-,4,-,73,68,-,-,4,3,3,104,257,4,4,145,6,7,4,278,52,7,186,247,4,99,6,61,65,13,8,250,3.8,98,228,354,17.6,72.2,5.1,2.4,3.1,-,-,-,281,-,48.4,21.1,21.3,6.2,3.0,12.9,11.8,2.7,-,-,-,219,-,18,9,-,246,-,-,94.0,3.6,2.0,100.0,-,97.2,2.8,-,-,-,-,-,-,-,-,"2,237.9",-,-,-,-
35250,Mornington (S),2013,66,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
35250,Mornington (S),2014,60,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
35250,Mornington (S),2015,60,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
35250,Mornington (S),2016,26,50,-,-,12,-,60,80,-,-,-,3,8,139,290,6,12,137,-,9,4,314,49,5,201,261,4,83,6,49,68,19,13,247,3.6,73,218,393,14.8,77.0,3.4,2.9,1.5,49.4,47.5,3.1,483,-,45.0,12.4,14.4,14.5,12.7,11.6,9.8,2.3,88,101,65,224,21,4,3,-,252,1.2,1.2,95.3,1.1,1.1,100.0,-,83.9,16.1,1,1,1,1,2,2,2,2,"1,117.0",2.3,-,1.5,-
35250,Mornington (S),2017,49,51,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
35300,Mount Isa (C),2011,-,-,3,-,79,3,"6,501",979,103,62,184,184,99,658,"8,854",105,100,"7,567",172,"1,043",164,"10,334","1,515",301,"4,588","6,400",3,"1,926",285,"1,673",569,186,82,"4,724",3.1,"5,212","2,296","5,051",41.4,44.4,3.0,7.7,3.5,-,-,-,"1,131","2,030",54.8,21.4,6.3,1.2,16.4,6.4,16.3,2.0,-,-,-,"4,801",331,949,300,23,"6,404",18.2,33.8,43.8,0.5,3.7,95.7,4.3,94.0,6.0,-,-,-,-,-,-,-,-,138.5,-,-,-,-
35300,Mount Isa (C),2013,"3,901",100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
35300,Mount Isa (C),2014,"4,108",100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
35300,Mount Isa (C),2015,"4,089",100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
35300,Mount Isa (C),2016,"4,128",60,3,-,15,3,"6,397",660,72,63,158,129,41,447,"8,006",78,28,"7,136",138,763,115,"9,108","1,504",276,"4,298","6,078",3,"1,761",243,"1,558",563,220,67,"4,413",3.1,"4,777","2,159","4,755",41.8,44.1,3.0,7.7,3.4,79.8,16.5,3.6,"1,180","1,948",55.9,22.7,6.6,1.0,13.8,7.6,19.9,1.9,263,"4,081","1,300","4,668",909,342,82,68,"6,069",16.2,33.1,46.5,0.6,3.6,96.2,3.8,93.0,7.0,6,6,4,4,8,8,7,6,147.6,9.4,3.1,7.1,3.0
35300,Mount Isa (C),2017,"4,255",52,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
35600,Murweh (S),2011,-,-,3,-,6,-,"1,262",190,3,55,21,26,41,202,"1,808",25,6,"1,471",214,194,33,"2,267",473,36,"1,145","1,655",3,433,74,486,109,49,11,"1,171",3.0,"1,480",420,"1,095",49.5,34.6,7.2,6.1,2.6,-,-,-,532,"1,256",62.9,20.1,6.0,0.8,10.4,8.2,23.4,1.9,-,-,-,"1,567",20,34,21,10,"1,652",35.1,27.8,33.0,0.9,3.3,95.4,4.6,94.9,5.1,-,-,-,-,-,-,-,-,71.4,-,-,-,-
35600,Murweh (S),2013,505,65,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
35600,Murweh (S),2014,467,90,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
35600,Murweh (S),2015,485,80,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
35600,Murweh (S),2016,457,100,-,-,3,-,"1,159",152,-,32,25,33,31,151,"1,592",17,8,"1,324",241,166,32,"2,046",498,39,"1,075","1,611",2,364,70,492,117,56,10,"1,100",2.9,"1,366",402,"1,102",49.1,33.3,6.8,7.8,2.9,70.2,25.8,4.2,662,"1,205",63.2,19.2,6.4,0.6,10.5,9.1,25.2,1.9,43,"1,214",234,"1,484",44,38,29,14,"1,609",36.0,27.6,30.9,1.6,4.3,96.4,3.6,94.0,6.0,3,4,5,3,5,5,7,5,39.2,24.6,1.9,24.3,1.9
35600,Murweh (S),2017,407,90,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
35670,Napranum (S),2011,-,-,-,-,7,-,71,32,-,-,-,-,-,61,176,-,7,105,3,-,3,182,21,-,158,183,4,73,9,25,52,23,13,196,3.7,30,195,295,8.8,84.5,4.9,1.8,1.4,-,-,-,376,-,46.2,23.8,22.4,6.2,1.4,17.3,11.3,2.2,-,-,-,134,-,40,6,3,183,-,-,100.0,-,-,100.0,-,88.0,12.0,-,-,-,-,-,-,-,-,828.3,-,-,-,-
35670,Napranum (S),2016,-,-,-,-,-,-,85,22,-,-,-,-,-,24,137,3,-,108,5,9,-,153,47,-,188,235,4,88,13,31,49,25,14,215,3.7,49,220,347,14.6,79.7,2.4,1.8,1.5,46.0,52.8,1.3,530,-,61.2,25.3,10.1,1.2,2.4,8.0,8.3,2.2,47,104,79,189,39,-,6,-,234,-,1.3,97.5,-,-,100.0,-,84.0,16.0,1,1,1,1,1,1,1,2,280.1,30.6,-,9.9,-
35740,Noosa (S),2011,-,-,32,3,241,4,"12,814","1,066",27,251,221,219,178,714,"15,785",235,384,"14,098","1,955","2,472",333,"20,768","4,666",795,"13,673","19,134",2,"4,059",828,"6,641","1,588",645,118,"13,895",2.8,"18,178","4,031","13,432",50.9,27.6,6.0,11.9,3.6,-,-,-,"1,442","1,932",66.6,18.6,6.4,0.9,7.4,10.9,20.8,1.8,-,-,-,"15,215","1,858","1,792",269,5,"19,139",36.2,31.4,28.9,1.4,2.2,88.2,11.8,85.4,14.6,-,-,-,-,-,-,-,-,23.8,-,-,-,-
35740,Noosa (S),2013,"8,149",90,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
35740,Noosa (S),2014,"8,031",100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
35740,Noosa (S),2015,"8,085",100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
35740,Noosa (S),2016,"7,833",100,40,3,340,4,"14,030","1,003",21,202,238,184,243,670,"16,973",233,503,"15,253","2,293","2,258",249,"22,007","4,954",769,"14,423","20,143",2,"4,086",991,"7,243","1,455",814,118,"14,712",2.8,"19,334","4,467","14,467",51.1,27.3,5.8,12.3,3.5,85.7,11.7,2.6,"1,706","1,825",66.8,17.6,6.5,0.7,8.4,11.4,21.0,1.8,353,"15,857","2,765","15,965","2,434","1,453",144,146,"20,142",39.1,31.4,25.3,1.6,2.6,92.0,8.0,87.2,12.8,8,8,8,8,10,10,10,10,19.4,18.6,7.9,14.7,8.1
35740,Noosa (S),2017,"8,149",100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
35760,North Burnett (R),2011,-,-,-,-,56,-,"2,271",296,-,79,40,25,73,434,"3,279",68,80,"2,634",652,367,88,"4,450","1,122",125,"2,741","3,984",2,820,157,"1,387",248,108,45,"2,764",2.8,"3,845",730,"2,569",53.6,26.8,7.1,9.1,3.3,-,-,-,506,"1,244",63.9,17.8,6.3,0.9,11.1,11.8,28.5,1.9,-,-,-,"3,667",42,102,171,3,"3,985",43.2,23.1,27.1,1.3,5.2,94.6,5.4,94.9,5.1,-,-,-,-,-,-,-,-,22.3,-,-,-,-
35760,North Burnett (R),2013,"1,074",75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
35760,North Burnett (R),2014,"1,028",85,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
35760,North Burnett (R),2015,"1,059",68,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
35760,North Burnett (R),2016,"1,011",80,-,-,104,-,"2,321",251,-,65,20,25,65,390,"3,245",40,114,"2,617",615,343,88,"4,334","1,201",135,"2,572","3,916",2,762,153,"1,314",231,95,39,"2,599",2.8,"3,628",735,"2,762",52.3,27.9,6.9,9.6,3.2,66.1,29.2,4.6,657,"1,276",63.0,15.8,5.9,0.5,14.7,11.7,27.0,1.9,141,"2,961",570,"3,569",30,95,194,30,"3,918",43.0,23.9,27.6,0.9,4.4,95.2,4.8,93.9,6.1,2,2,2,3,4,4,4,5,63.4,27.7,8.7,32.7,10.2
35760,North Burnett (R),2017,969,70,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
35780,Northern Peninsula Area (R),2011,-,-,-,-,39,-,282,136,-,3,-,3,3,246,707,7,37,424,12,26,18,762,110,14,438,563,4,221,25,84,124,36,13,492,3.7,269,376,679,23.5,69.6,2.8,2.2,2.0,-,-,-,302,-,53.3,28.9,11.8,0.3,6.0,10.2,16.4,2.4,-,-,-,373,-,122,57,3,555,2.1,0.5,94.3,0.7,2.1,100.0,-,95.2,4.8,-,-,-,-,-,-,-,-,346.4,-,-,-,-
35780,Northern Peninsula Area (R),2013,96,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
35780,Northern Peninsula Area (R),2014,86,60,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
35780,Northern Peninsula Area (R),2015,86,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
35780,Northern Peninsula Area (R),2016,81,110,-,-,22,-,328,127,-,-,-,-,-,205,691,31,25,486,22,41,23,804,132,9,530,676,4,248,28,89,171,29,23,598,3.8,304,435,851,22.3,70.4,3.0,2.4,1.7,75.6,19.1,6.1,521,-,49.4,28.0,13.2,2.3,7.2,11.5,23.9,2.6,172,261,190,567,54,20,29,4,674,2.4,-,92.4,-,5.5,100.0,-,92.0,8.0,1,1,1,1,3,3,3,2,415.8,2.9,0.3,3.0,0.3
35780,Northern Peninsula Area (R),2017,105,185,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
35790,Palm Island (S),2011,-,-,-,-,86,3,130,93,-,8,-,-,10,244,579,7,94,229,4,7,18,612,42,10,331,388,5,162,26,51,128,47,21,444,4.0,101,376,893,9.8,84.8,2.3,1.1,1.8,-,-,-,426,-,58.3,22.9,14.4,2.3,2.8,13.4,7.7,2.6,-,-,-,289,-,74,24,-,387,4.7,-,93.8,1.0,1.8,100.0,-,96.4,3.6,-,-,-,-,-,-,-,-,"2,336.0",-,-,-,-
35790,Palm Island (S),2013,75,360,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
35790,Palm Island (S),2014,83,245,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
35790,Palm Island (S),2015,106,104,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
35790,Palm Island (S),2016,79,222,-,-,16,-,142,95,-,-,-,-,3,200,457,-,16,239,-,14,8,487,68,7,405,483,4,171,37,69,145,52,27,496,3.9,119,417,954,10.3,85.0,1.9,1.6,1.5,56.9,40.2,1.9,504,-,55.7,24.8,14.1,2.0,3.7,12.4,8.2,2.5,190,155,129,397,34,27,19,-,477,3.9,-,92.9,0.8,1.4,100.0,-,91.7,8.3,1,1,1,1,1,1,2,1,"2,103.8",1.2,-,28.8,-
35790,Palm Island (S),2017,79,245,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
35800,Paroo (S),2011,-,-,4,-,-,-,391,55,3,13,5,4,16,92,580,11,3,452,155,74,26,840,250,11,445,708,2,135,38,197,54,26,7,450,3.0,517,177,515,43.3,39.1,6.8,7.5,3.4,-,-,-,312,784,66.1,16.5,6.7,0.8,9.9,9.1,25.5,2.0,-,-,-,653,-,16,24,6,699,42.1,16.4,35.5,1.3,4.5,98.3,1.7,97.6,2.4,-,-,-,-,-,-,-,-,33.1,-,-,-,-
35800,Paroo (S),2013,134,70,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
35800,Paroo (S),2014,131,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
35800,Paroo (S),2015,130,82,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
35800,Paroo (S),2016,111,80,-,-,3,-,377,30,-,5,15,4,20,88,532,4,3,410,123,50,9,720,230,20,390,647,2,81,31,183,56,23,6,395,2.8,443,132,521,42.9,37.9,6.8,8.8,4.2,59.7,35.2,4.6,389,921,68.5,14.1,6.5,0.6,10.6,10.0,28.1,1.9,26,435,125,598,15,4,14,15,646,43.4,18.1,32.7,0.9,4.3,97.6,2.4,95.3,4.7,2,2,7,2,3,3,9,3,43.0,37.8,1.4,38.7,1.4
